primary_name,Customer Type,Period Name,Food Type,Week Name,Total Amount,Slot Timing From,Slot Timing To,city
"Caculo Mall, Panaji",Adult,Dinner,NON-VEG,THURSDAY,949,18:30:00,23:00:00,Goa
"Caculo Mall, Panaji",Adult,Lunch,VEG,SUNDAY,899,11:30:00,18:00:00,Goa
"Caculo Mall, Panaji",Adult,Lunch,NON-VEG,SUNDAY,949,11:30:00,18:00:00,Goa
"Caculo Mall, Panaji",Adult,Dinner,VEG,SUNDAY,899,18:30:00,23:00:00,Goa
"Caculo Mall, Panaji",Adult,Dinner,NON-VEG,SUNDAY,949,18:30:00,23:00:00,Goa
"Caculo Mall, Panaji",Adult,Lunch,VEG,MONDAY,699,11:30:00,18:00:00,Goa
"Caculo Mall, Panaji",Adult,Lunch,NON-VEG,MONDAY,749,11:30:00,18:00:00,Goa
"Caculo Mall, Panaji",Adult,Dinner,VEG,MONDAY,699,18:30:00,23:00:00,Goa
"Caculo Mall, Panaji",Adult,Dinner,NON-VEG,MONDAY,749,18:30:00,23:00:00,Goa
"Caculo Mall, Panaji",Adult,Lunch,VEG,TUESDAY,699,11:30:00,18:00:00,Goa
"Caculo Mall, Panaji",Adult,Lunch,NON-VEG,TUESDAY,749,11:30:00,18:00:00,Goa
"Caculo Mall, Panaji",Adult,Dinner,VEG,TUESDAY,699,18:30:00,23:00:00,Goa
"Caculo Mall, Panaji",Adult,Dinner,NON-VEG,TUESDAY,749,18:30:00,23:00:00,Goa
"Caculo Mall, Panaji",Adult,Lunch,VEG,WEDNESDAY,849,11:30:00,18:00:00,Goa
"Caculo Mall, Panaji",Adult,Lunch,NON-VEG,WEDNESDAY,899,11:30:00,18:00:00,Goa
"Caculo Mall, Panaji",Adult,Dinner,VEG,WEDNESDAY,849,18:30:00,23:00:00,Goa
"Caculo Mall, Panaji",Adult,Dinner,NON-VEG,WEDNESDAY,899,18:30:00,23:00:00,Goa
"Caculo Mall, Panaji",Adult,Lunch,VEG,FRIDAY,849,11:30:00,18:00:00,Goa
"Caculo Mall, Panaji",Adult,Lunch,NON-VEG,FRIDAY,899,11:30:00,18:00:00,Goa
"Caculo Mall, Panaji",Adult,Dinner,VEG,FRIDAY,849,18:30:00,23:00:00,Goa
"Caculo Mall, Panaji",Adult,Dinner,NON-VEG,FRIDAY,899,18:30:00,23:00:00,Goa
"Caculo Mall, Panaji",Adult,Lunch,VEG,SATURDAY,849,11:30:00,18:00:00,Goa
"Caculo Mall, Panaji",Adult,Lunch,NON-VEG,SATURDAY,899,11:30:00,18:00:00,Goa
"Caculo Mall, Panaji",Adult,Dinner,VEG,SATURDAY,849,18:30:00,23:00:00,Goa
"Caculo Mall, Panaji",Adult,Dinner,NON-VEG,SATURDAY,899,18:30:00,23:00:00,Goa
"Caculo Mall, Panaji",Child,Lunch,VEG,MONDAY,429,12:00:00,16:00:00,Goa
"Caculo Mall, Panaji",Child,Dinner,VEG,MONDAY,429,18:00:00,23:00:00,Goa
"Caculo Mall, Panaji",Child,Lunch,VEG,TUESDAY,429,12:00:00,16:00:00,Goa
"Caculo Mall, Panaji",Child,Dinner,VEG,TUESDAY,429,18:00:00,23:00:00,Goa
"Caculo Mall, Panaji",Child,Lunch,VEG,WEDNESDAY,299,12:00:00,16:00:00,Goa
"Caculo Mall, Panaji",Child,Dinner,VEG,WEDNESDAY,429,18:00:00,23:00:00,Goa
"Caculo Mall, Panaji",Child,Lunch,VEG,THURSDAY,429,12:00:00,16:00:00,Goa
"Caculo Mall, Panaji",Child,Lunch,VEG,FRIDAY,429,12:00:00,16:00:00,Goa
"Caculo Mall, Panaji",Child,Dinner,VEG,FRIDAY,429,18:00:00,23:00:00,Goa
"Caculo Mall, Panaji",Child,Lunch,VEG,SATURDAY,429,12:00:00,16:00:00,Goa
"Caculo Mall, Panaji",Child,Dinner,VEG,SATURDAY,429,18:00:00,23:00:00,Goa
"Caculo Mall, Panaji",Adult,Early Bird Lunch,VEG,SATURDAY,499,11:30:00,18:00:00,Goa
"Caculo Mall, Panaji",Child,Lunch,VEG,SUNDAY,429,11:30:00,16:00:00,Goa
"Caculo Mall, Panaji",Adult,Early Bird Dinner,VEG,SATURDAY,499,18:30:00,23:00:00,Goa
"Caculo Mall, Panaji",Child,Dinner,VEG,SUNDAY,429,18:00:00,23:00:00,Goa
"Caculo Mall, Panaji",Adult,Early Bird Lunch,VEG,MONDAY,499,11:30:00,18:00:00,Goa
"Caculo Mall, Panaji",Adult,Early Bird Lunch,VEG,TUESDAY,499,11:30:00,18:00:00,Goa
"Caculo Mall, Panaji",Adult,Early Bird Lunch,VEG,WEDNESDAY,499,11:30:00,18:00:00,Goa
"Caculo Mall, Panaji",Adult,Early Bird Lunch,VEG,THURSDAY,499,11:30:00,18:00:00,Goa
"Caculo Mall, Panaji",Adult,Early Bird Lunch,VEG,FRIDAY,499,11:30:00,18:00:00,Goa
"Caculo Mall, Panaji",Adult,Early Bird Dinner,VEG,MONDAY,499,18:30:00,23:00:00,Goa
"Caculo Mall, Panaji",Adult,Early Bird Dinner,VEG,TUESDAY,499,18:30:00,23:00:00,Goa
"Caculo Mall, Panaji",Adult,Early Bird Dinner,VEG,WEDNESDAY,499,18:30:00,23:00:00,Goa
"Caculo Mall, Panaji",Adult,Early Bird Dinner,VEG,THURSDAY,499,18:30:00,23:00:00,Goa
"Caculo Mall, Panaji",Adult,Early Bird Dinner,VEG,FRIDAY,499,18:30:00,23:00:00,Goa
T Nagar Bazullah Road,Child,Lunch,VEG,SUNDAY,429,11:30:00,16:00:00,Chennai
T Nagar Bazullah Road,Child,Dinner,VEG,SUNDAY,429,18:30:00,23:00:00,Chennai
T Nagar Bazullah Road,Child,Lunch,VEG,WEDNESDAY,429,11:30:00,16:00:00,Chennai
T Nagar Bazullah Road,Child,Lunch,VEG,FRIDAY,429,11:30:00,16:00:00,Chennai
T Nagar Bazullah Road,Child,Lunch,VEG,SATURDAY,429,11:30:00,16:00:00,Chennai
T Nagar Bazullah Road,Child,Lunch,VEG,TUESDAY,429,11:30:00,16:00:00,Chennai
T Nagar Bazullah Road,Child,Dinner,VEG,WEDNESDAY,429,18:30:00,23:00:00,Chennai
